Label,Formula,Mol weight,Phase,"Temperature, K","Pressure, kPa","Electrical conductivity, S/m"
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,273.15,100,0.522 ± 0.005
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,273.15,100,0.523 ± 0.005
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,283.15,100,0.786 ± 0.008
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,293.15,100,1.122 ± 0.011
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,293.15,100,1.123 ± 0.011
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,293.15,100,1.124 ± 0.011
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,298.15,100,1.315 ± 0.013
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,298.15,100,1.316 ± 0.013
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,298.15,100,1.317 ± 0.013
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,298.15,100,1.318 ± 0.013
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,303.15,100,1.525 ± 0.015
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,303.15,100,1.526 ± 0.015
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,303.15,100,1.527 ± 0.015
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,313.15,100,1.993 ± 0.02
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,313.15,100,1.995 ± 0.02
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,313.15,100,1.996 ± 0.02
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,313.15,100,1.997 ± 0.02
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,323.15,100,2.525 ± 0.025
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,323.15,100,2.526 ± 0.025
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,323.15,100,2.527 ± 0.025
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,323.15,100,2.528 ± 0.025
1-butyl-1-methylpyrrolidinium dicyanamide,C11H20N4,208.31,Liquid,323.15,100,2.529 ± 0.025
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,203.4,101.325,3e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,203.9,101.325,3e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,204.4,101.325,3e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,204.4,101.325,4e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,204.9,101.325,4e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,205.4,101.325,4e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,205.9,101.325,4e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,206.3,101.325,5e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,206.8,101.325,5e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,207.3,101.325,6e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,207.8,101.325,6e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,208.3,101.325,7e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,208.8,101.325,7e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,209.3,101.325,7e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,209.8,101.325,8e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,210.6,101.325,8e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,210.8,101.325,8e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,211.3,101.325,9e-07 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,211.8,101.325,1e-06 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,211.8,101.325,1.2e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,212.3,101.325,1.2e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,212.8,101.325,1.2e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,213.3,101.325,1.3e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,213.8,101.325,1.4e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,214.3,101.325,1.5e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,214.3,101.325,2e-06 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,214.8,101.325,1.7e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,215.3,101.325,1.8e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,215.8,101.325,1.9e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,216.3,101.325,2e-06 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,216.8,101.325,2.3e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,216.8,101.325,3.3e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,217.3,101.325,2.5e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,217.8,101.325,2.7e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,218.3,101.325,2.9e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,218.8,101.325,3.1e-06 ± 4e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,219.3,101.325,3.5e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,219.3,101.325,4.7e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,219.8,101.325,3.8e-06 ± 1e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,220.3,101.325,4.2e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,220.8,101.325,4.5e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,221.3,101.325,4.8e-06 ± 5e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,221.8,101.325,5.4e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,221.8,101.325,7e-06 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,222.3,101.325,5.8e-06 ± 2e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,222.8,101.325,6.3e-06 ± 3e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,223.2,101.325,6.9e-06 ± 3e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,223.7,101.325,7.5e-06 ± 6e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,224.2,101.325,8.3e-06 ± 3e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,224.2,101.325,9.7e-06 ± 4e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,224.7,101.325,9e-06 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,225.2,101.325,9.8e-06 ± 4e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,225.7,101.325,1.09e-05 ± 4e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,226.2,101.325,1.16e-05 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,226.7,101.325,1.27e-05 ± 5e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,226.7,101.325,1.58e-05 ± 5e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,228,101.325,1.58e-05 ± 8e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,229.2,101.325,1.92e-05 ± 7e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,229.2,101.325,2.47e-05 ± 8e-07
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,230.5,101.325,2.3e-05 ± 1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,231.7,101.325,2.76e-05 ± 1.1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,231.7,101.325,4.04e-05 ± 1.2e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,232.9,101.325,3.38e-05 ± 1.9e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,234.2,101.325,4.07e-05 ± 1.4e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,234.2,101.325,6.26e-05 ± 1.7e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,235.4,101.325,4.83e-05 ± 2.6e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,236.7,101.325,5.69e-05 ± 2e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,236.7,101.325,9.24e-05 ± 2.5e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,237.9,101.325,6.84e-05 ± 4.1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,239.2,101.325,8.1e-05 ± 3e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,239.2,101.325,0.0001401 ± 3.5e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,240.9,101.325,0.0001039 ± 6.1e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,241.6,101.325,0.000115 ± 4e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,241.6,101.325,0.000236 ± 5e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,242.9,101.325,0.000137 ± 9e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,244.1,101.325,0.0001619 ± 5.4e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,244.1,101.325,0.000349 ± 8e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,245.4,101.325,0.000191 ± 2.4e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,246.6,101.325,0.000224 ± 7e-06
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,246.6,101.325,0.000659 ± 1.4e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,247.9,101.325,0.000262 ± 2.9e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,249.1,101.325,0.000306 ± 1e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,250.3,101.325,0.000356 ± 1.1e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,251.6,101.325,0.000417 ± 1.3e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,252.8,101.325,0.000488 ± 1.5e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,254.1,101.325,0.000563 ± 1.7e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,255.3,101.325,0.000652 ± 2.1e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,256.5,101.325,0.000758 ± 2.4e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,257.8,101.325,0.000878 ± 2.7e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,259,101.325,0.001016 ± 3.1e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,260.3,101.325,0.001178 ± 3.6e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,261.5,101.325,0.001361 ± 4e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,262.8,101.325,0.001548 ± 4.4e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,264,101.325,0.001758 ± 5.2e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,265.2,101.325,0.00201 ± 6e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,266.5,101.325,0.00234 ± 7e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,267.7,101.325,0.00273 ± 8e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,269,101.325,0.00314 ± 9e-05
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,270.2,101.325,0.0036 ± 0.0001
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,271.5,101.325,0.0041 ± 0.0001
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,272.7,101.325,0.0047 ± 0.0002
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,273.9,101.325,0.00543 ± 0.00018
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,275.4,101.325,0.00664 ± 0.00022
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,276.4,101.325,0.00762 ± 0.00032
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,278.9,101.325,0.01142 ± 0.00052
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,281.4,101.325,0.0192 ± 0.001
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,283.9,101.325,0.0347 ± 0.0028
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,286.4,101.325,0.087 ± 0.01
1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,197.97,Crystal,287.6,101.325,0.245 ± 0.027
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.14,1.61,0.204 ± 0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.14,3.36,0.2 ± 0.025
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,0.9,0.207 ± 0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,5.01,0.205 ± 0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,9.94,0.196 ± 0.025
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,14.97,0.184 ± 0.024
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,20.06,0.173 ± 0.022
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,25.13,0.163 ± 0.021
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,30.21,0.154 ± 0.02
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,40.32,0.145 ± 0.018
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,50.07,0.129 ± 0.016
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,74.7,0.115 ± 0.015
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,100.3,0.087 ± 0.011
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,149.4,0.0649 ± 0.0083
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,174.4,0.0373 ± 0.0048
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,200.6,0.0281 ± 0.0036
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.15,125.2,0.0209 ± 0.0027
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,283.16,24.5,0.0489 ± 0.0062
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.13,49,0.303 ± 0.039
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.13,1.15,0.24 ± 0.031
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,2.09,0.403 ± 0.051
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,2.92,0.399 ± 0.051
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,4.76,0.395 ± 0.05
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,9.89,0.391 ± 0.05
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,14.99,0.385 ± 0.049
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,19.96,0.364 ± 0.046
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,24.51,0.345 ± 0.044
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,28.75,0.328 ± 0.042
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,40.28,0.313 ± 0.04
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,49.15,0.3 ± 0.038
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,49.83,0.268 ± 0.034
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,70.2,0.245 ± 0.031
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,72.1,0.243 ± 0.031
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,81,0.2 ± 0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,92.2,0.195 ± 0.026
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,97.9,0.18 ± 0.023
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,98.1,0.161 ± 0.021
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,122.3,0.153 ± 0.02
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,124.9,0.15 ± 0.019
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,150.7,0.119 ± 0.016
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,174.7,0.117 ± 0.017
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,196.1,0.092 ± 0.012
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,200.6,0.073 ± 0.01
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,171.6,0.0603 ± 0.0077
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.15,147.1,0.0572 ± 0.0078
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.16,73.5,0.0758 ± 0.0097
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.17,24.5,0.387 ± 0.049
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.17,147.1,0.096 ± 0.012
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,298.18,48.7,0.19 ± 0.028
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.13,73.8,0.685 ± 0.088
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.13,171.6,0.281 ± 0.037
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.14,1.08,0.81 ± 0.1
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.14,2.02,0.577 ± 0.073
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.14,3.1,0.48 ± 0.064
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.14,5.08,0.236 ± 0.032
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,10.07,0.91 ± 0.12
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,15.04,0.9 ± 0.11
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,20.04,0.89 ± 0.11
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,24.99,0.89 ± 0.11
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,30.09,0.87 ± 0.11
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,40.04,0.83 ± 0.11
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,49.97,0.8 ± 0.1
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,75.2,0.769 ± 0.098
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,100,0.739 ± 0.094
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,124.8,0.709 ± 0.09
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,150.9,0.653 ± 0.083
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,175.1,0.604 ± 0.077
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,201.3,0.497 ± 0.065
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,225.2,0.41 ± 0.054
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,197.97,Liquid,323.15,250.8,0.339 ± 0.048
