pair_sml,state,conductivity_norm,conductivity
C[N+]1=C(C)N(CCC)C=C1.N#C[N-]C#N,-0.0,,
C[N+]1=C(C)N(CCC)C=C1.[O-][N+]([O-])=O,0.0,,
C[N+]1=C(C)N(CCC)C=C1.N#C[C-](C#N)C#N,-0.0,,
C[N+]1=C(C)N(CCC)C=C1.O=C(CCCCCCCCC)[O-],0.0,,
C[N+]1=C(C)N(CCC)C=C1.F[B-](F)(F)F,0.0,,
CCN1C=C[N+](CC)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
CCN1C=C[N+](CC)=C1.[S-]C#N,0.0,,
CCN1C=C[N+](CC)=C1.O=C(C)[O-],0.0,,
CCN1C=C[N+](CC)=C1.[O-]S(=O)(O)=O,0.0,,
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C)=O,0.0,,
CCN1C=C[N+](CC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,,
CCN1C=C[N+](CC)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CCN1C=C[N+](CC)=C1.O=C([H])[O-],-0.0,,
CCN1C=C[N+](CC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,-0.0,,
CCN1C=C[N+](CC)=C1.[O-]P(OCCCC)(OCCCC)=O,-0.0,,
CCN1C=C[N+](CC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,-0.0,,
CCN1C=C[N+](CC)=C1.[O-]P(O)(O)=O,0.0,,
CCN1C=C[N+](CC)=C1.O=C(C(F)(F)F)[O-],-0.0,,
CCN1C=C[N+](CC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-0.0,,
CCN1C=C[N+](CC)=C1.[O-]P(OC)(OC)=O,0.0,,
CCN1C=C[N+](CC)=C1.[O-]S(=O)(OC)=O,0.0,,
CCN1C=C[N+](CC)=C1.N#C[N-]C#N,-0.0,,
CCN1C=C[N+](CC)=C1.[O-][N+]([O-])=O,0.0,,
CCN1C=C[N+](CC)=C1.N#C[C-](C#N)C#N,-0.0,,
CCN1C=C[N+](CC)=C1.O=C(CCCCCCCCC)[O-],0.0,,
CCN1C=C[N+](CC)=C1.F[B-](F)(F)F,0.0,,
CCN1C=C[N+](CC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,,
CN1C=C[N+](C)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
CN1C=C[N+](C)=C1.[S-]C#N,0.0,,
CN1C=C[N+](C)=C1.O=C(C)[O-],0.0,,
CN1C=C[N+](C)=C1.[O-]S(=O)(OCC)=O,0.0,,
CN1C=C[N+](C)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CN1C=C[N+](C)=C1.O=C([H])[O-],0.0,,
CN1C=C[N+](C)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CN1C=C[N+](C)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
CN1C=C[N+](C)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
CN1C=C[N+](C)=C1.O=C(C(F)(F)F)[O-],0.0,,
CN1C=C[N+](C)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CN1C=C[N+](C)=C1.[O-]P(OCC)(OCC)=O,0.0,,
CN1C=C[N+](C)=C1.N#C[N-]C#N,-0.0,,
CN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,-0.0,,
CN1C=C[N+](C)=C1.O=C(CCCCCCCCC)[O-],0.0,,
CN1C=C[N+](C)=C1.F[B-](F)(F)F,0.0,,
CN1C=C[N+](CCO)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
CN1C=C[N+](CCO)=C1.[S-]C#N,0.0,,
CN1C=C[N+](CCO)=C1.O=C(C)[O-],0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(OCC)=O,0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(O)=O,0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C)=O,0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CN1C=C[N+](CCO)=C1.O=C([H])[O-],-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(OCCCC)(OCCCC)=O,-0.0,,
CN1C=C[N+](CCO)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(O)(O)=O,0.0,,
CN1C=C[N+](CCO)=C1.O=C(C(F)(F)F)[O-],-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(OCC)(OCC)=O,-0.0,,
CN1C=C[N+](CCO)=C1.[O-]P(OC)(OC)=O,0.0,,
CN1C=C[N+](CCO)=C1.[O-]S(=O)(OC)=O,0.0,,
CN1C=C[N+](CCO)=C1.N#C[N-]C#N,-0.0,,
CN1C=C[N+](CCO)=C1.[O-][N+]([O-])=O,0.0,,
CN1C=C[N+](CCO)=C1.N#C[C-](C#N)C#N,-0.0,,
CN1C=C[N+](CCO)=C1.O=C(CCCCCCCCC)[O-],0.0,,
CN1C=C[N+](CCO)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,,
CN1C=C[N+](CC=C)=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,0.0,,
CN1C=C[N+](CC=C)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
CN1C=C[N+](CC=C)=C1.[S-]C#N,0.0,,
CN1C=C[N+](CC=C)=C1.O=C(C)[O-],0.0,,
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(OCC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.O=C([H])[O-],0.0,,
CN1C=C[N+](CC=C)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-]P(OCCCC)(OCCCC)=O,-0.0,,
CN1C=C[N+](CC=C)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,-0.0,,
CN1C=C[N+](CC=C)=C1.O=C(C(F)(F)F)[O-],0.0,,
CN1C=C[N+](CC=C)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-]P(OCC)(OCC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-]P(OC)(OC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-]S(=O)(OC)=O,0.0,,
CN1C=C[N+](CC=C)=C1.[O-][N+]([O-])=O,0.0,,
CN1C=C[N+](CC=C)=C1.N#C[C-](C#N)C#N,-0.0,,
CN1C=C[N+](CC=C)=C1.O=C(CCCCCCCCC)[O-],0.0,,
CN1C=C[N+](CC=C)=C1.F[B-](F)(F)F,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[S-]C#N,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C(C)[O-],0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]S(=O)(OCC)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]S(=O)(CCCC)=O,0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.O=C([H])[O-],0.0,,
C[N+]1=CN(CC2=CC=CC=C2)C=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
